Competência;Cód.Forn;Fornecedor;Material;Cód. Grupo;Grupo;Estocável;Genérico;Unid.;Class. ABC;Sub. ABC;Qtd;Custo Médio;Resíduo;Valor;
"04/2026";"1";"Completar";"404106 - CAMISA ENDOSCOPICA PARA CISTOSCOPIA 7FR";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"C";"A";"0";"11.507,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404646 - ESPATULA EM ACO INOX COM MICRO-COLHER 3 MM - 17 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404645 - ESPATULA EM ACO INOX DUPLA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404643 - PINCA ANATOMICA, TIPO SEMKEN, PONTA RETA SERRILHADA";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404641 - AGULHA PARA COLETA DE SANGUE A VACUO 22G";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404633 - TERMOMETRO DIGITAL COM CABO EXTENSOR E SENSOR EM ACO INOX";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404612 - AFASTADOR RICHARDSON LAMINA 33MM X 30MM COMPRIMENTO 25CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"401023 - CATETER FOGARTY P/ EMBOLECTOMIA, 4F";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"34";"122,8767";"0,00";"4.177,81";
"04/2026";"1";"Completar";"404114 - ENDOSCOPIO RIGIDO (OPTICA) 10 MM (DIAMETRO) X 30 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"30.918,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404113 - ENDOSCOPIO RIGIDO (OPTICA), 4,0MM X 30CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"29.814,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"402117 - MANGUITO DE BORRACHA PEQUENO ADULTO - 2 VIAS";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"C";"A";"0";"24,9500";"0,00";"0,00";
"04/2026";"1";"Completar";"401687 - SONDA RETAL CALIBRE N. 24";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"130";"1,8800";"0,00";"244,40";
"04/2026";"1";"Completar";"403867 - PINCA PARA ENDOSCOPIO, TIPO CESTA, DIAMETRO DA PONTA: 20 MM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"C";"A";"0";"670,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400748 - CATETER DIAGNOSTICO JUDKINS 6F JL 3,5 X 100 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"18";"69,9500";"0,00";"1.259,10";
"04/2026";"1";"Completar";"400516 - INTRODUTOR FEMORAL 9F 11CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"0";"42,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403965 - TESOURA CIRURGICA, TIPO MAYO HEGAR, PONTA RETA ROMBA/ ROMBA, COMPRIMENTO CERCA DE 16 CM.";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"33,7600";"0,00";"0,00";
"04/2026";"1";"Completar";"1544 - FIO DE SUTURA CATGUT SIMPLES, FIO 2-0, AGULHA 1/2";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"B";"293";"4,8919";"0,01";"1.433,33";
"04/2026";"1";"Completar";"1570 - FIO DE SUTURA ALGODAO, FIO 4-0, SEM AGULHA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"B";"A";"192";"2,1114";"0,01";"405,39";
"04/2026";"1";"Completar";"1552 - FIO DE SUTURA CATGUT SIMPLES, FIO 5-0, AGULHA 1/2";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"B";"B";"112";"4,7767";"0,01";"535,00";
"04/2026";"1";"Completar";"1531 - FIO DE SUTURA, POLIGLATINA, FIO 6-0, INCOLOR 1/2, COMP. 45CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"B";"A";"108";"9,3400";"0,00";"1.008,72";
"04/2026";"1";"Completar";"1530 - FIO DE SUTURA ABSORVIVEL, POLIGLATINA,  FIO 5-0, INCOLOR 3/8";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"C";"216";"10,6700";"0,00";"2.304,72";
"04/2026";"1";"Completar";"1522 - FIO DE SUTURA ABSORVIVEL, SEDA, TIPO FIO 3-0";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"B";"46";"3,5300";"0,00";"162,38";
"04/2026";"1";"Completar";"1517 - FIO DE SUTURA ABSORVIVEL, FIO 5-0 AGULHA 1/2 CIRCULO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"A";"216";"8,4200";"0,00";"1.818,72";
"04/2026";"1";"Completar";"1526 - FIO DE SUTURA ABSORVIVEL, POLIGLATINA,  FIO 4-0, INCOLOR 3/8";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"B";"A";"600";"9,0535";"0,01";"5.432,11";
"04/2026";"1";"Completar";"1654 - CATETER PARA TERAPIA RENAL 7FR X 10CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"C";"11";"372,0900";"0,00";"4.092,99";
"04/2026";"1";"Completar";"5181 - FIO DE SUTURA SEDA, FIO 6-0, C/ 2 AGULHAS 3/8";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"C";"C";"120";"27,2060";"0,00";"3.264,72";
"04/2026";"1";"Completar";"14062 - FILTRO INSPIRATORIO PARA VENTILADOR PULMONAR PB840";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"C";"252";"9,9100";"0,00";"2.497,32";
"04/2026";"1";"Completar";"401368 - PAPILOTOMO TRIPLO LUMEN";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"B";"75";"352,0000";"0,00";"26.400,00";
"04/2026";"1";"Completar";"401414 - CATETER TIPO BASKET BILIAR 20 X 30";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"10";"769,3360";"0,00";"7.693,36";
"04/2026";"1";"Completar";"1572 - FIO DE SUTURA NYLON, FIO 8-0, AGULHA 3/8, COMP. 13 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"ENV";"A";"A";"120";"59,5100";"0,00";"7.141,20";
"04/2026";"1";"Completar";"401013 - KIT RESERVATORIO IMPLANTAVEL P/ QUIMIOTERAPIA INFANTIL,";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"KT";"";"";"9";"576,0000";"0,00";"5.184,00";
"04/2026";"1";"Completar";"403631 - FIO OSSEO LISO TIPO STEINMAN/KIRSCHNER 3,5MM X 30CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"B";"C";"20";"18,0099";"0,00";"360,20";
"04/2026";"1";"Completar";"403623 - FIO OSSEO LISO TIPO STEINMAN/KIRSCHNER 4,0MM X 30CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"10";"31,4800";"0,00";"314,80";
"04/2026";"1";"Completar";"403445 - ALCA TIPO RESSECCAO CALIBRE 24FR TIPO PROSTATICA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"25";"279,0000";"0,00";"6.975,00";
"04/2026";"1";"Completar";"401579 - CATETER FOGARTY P/ EMBOLECTOMIA, 6F";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"14";"145,0000";"0,00";"2.030,00";
"04/2026";"1";"Completar";"404112 - ENDOSCOPIO RIGIDO (OPTICA) 4,0MM X 18CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"A";"B";"0";"25.397,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400336 - PLACA DE COMPRESSAO DINAMICA 4,5 MM LARGA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"0";"354,1900";"0,00";"0,00";
